instance_name	nodes_count	T_max	criteria_function	paths_count	solutions_count	enable_random_noise	average_gap	minimum_gap	maximum_gap	average_execution_time	minimum_execution_time	maximum_execution_time
pr05	240	1000.0	benefit_insertion_ratio	4	30	True	55.35660996717399	51.83527305282005	58.51984482244106	191.40415664513907	153.087087392807	267.3834047317505
pr06	288	1000.0	benefit_insertion_ratio	1	30	True	88.33378734223191	86.9517842549714	89.32171070552984	18.681514946619668	13.698760032653809	25.8159441947937
pr06	288	1000.0	benefit_insertion_ratio	2	30	True	77.83074548261146	76.27349496050122	79.56959956415146	67.26246877511342	52.7235848903656	90.94112539291382
pr06	288	1000.0	benefit_insertion_ratio	3	30	True	68.15853990738218	64.83247071642604	71.37019885589757	138.81866547266642	101.31710410118103	226.82741141319275
pr06	288	1000.0	benefit_insertion_ratio	4	30	True	59.22546081903205	56.496867338599834	64.42386270770906	219.13991469542185	169.37853240966797	280.0022962093353
pr07	72	1000.0	benefit_insertion_ratio	1	30	True	73.62517580872012	71.30801687763713	76.58227848101265	2.4241432984670004	1.6510818004608154	3.5974440574645996
pr07	72	1000.0	benefit_insertion_ratio	2	30	True	48.50914205344585	44.51476793248945	56.118143459915615	6.845885022481283	4.546197891235352	9.06178069114685
pr07	72	1000.0	benefit_insertion_ratio	3	30	True	31.08649789029536	25.63291139240506	38.39662447257383	11.902113389968871	9.309247732162476	14.824894666671753
pr07	72	1000.0	benefit_insertion_ratio	4	30	True	20.59423347398031	14.662447257383967	24.78902953586498	15.069223237037658	12.333987712860107	22.09642767906189
pr08	144	1000.0	benefit_insertion_ratio	1	30	True	81.22964440013293	79.2123629112662	83.20039880358924	7.751528962453206	5.117597579956055	10.443256378173828
pr08	144	1000.0	benefit_insertion_ratio	2	30	True	67.01561980724493	63.808574277168496	69.39182452642075	22.789706937472026	16.403801679611206	31.07973575592041
pr08	144	1000.0	benefit_insertion_ratio	3	30	True	53.54436689930209	50.44865403788634	56.28115653040877	41.765565633773804	34.95537352561951	53.996866941452026
pr08	144	1000.0	benefit_insertion_ratio	4	30	True	42.5074775672981	39.730807577268195	46.90927218344965	66.13552207946778	52.65607500076294	87.73794031143188
pr09	216	1000.0	benefit_insertion_ratio	1	30	True	87.7948343079922	85.81871345029239	90.09502923976608	11.505534688631693	6.2025556564331055	18.300161361694336
pr09	216	1000.0	benefit_insertion_ratio	2	30	True	75.15594541910332	70.46783625730994	80.11695906432749	43.39436309337616	29.413866996765137	63.38387155532837
pr09	216	1000.0	benefit_insertion_ratio	3	30	True	63.59770955165691	60.78216374269005	67.47076023391813	98.73943766752879	70.39277172088623	133.5258252620697
pr09	216	1000.0	benefit_insertion_ratio	4	30	True	53.25779727095516	50.32894736842105	56.87134502923976	159.2785055398941	111.30221056938171	210.4773406982422
pr10	288	1000.0	benefit_insertion_ratio	1	30	True	88.00173160173159	86.57142857142858	89.84415584415585	22.84765246709188	14.079233884811401	32.14122748374939
pr10	288	1000.0	benefit_insertion_ratio	2	30	True	77.48311688311688	75.11688311688312	79.32467532467533	83.99795263608297	59.267327308654785	123.93132448196411
pr10	288	1000.0	benefit_insertion_ratio	3	30	True	67.43549783549784	65.0909090909091	69.61038961038962	167.67604911327362	121.20607256889343	245.7866771221161
pr10	288	1000.0	benefit_insertion_ratio	4	30	True	58.739393939393935	56.64935064935065	61.50649350649351	257.0896407922109	191.12433195114136	350.66093158721924
